Report B2 for Internet,,,,,,,,,,,,,,,,,,Report Date,,
PA Highway Bridges,,,,,,,,,,,,,,,,,,4/1/22,,
"Bridges on Local Route System, Length 20' or Greater",,,,,,,,,,,,,,,,,,,,
Summary of Bridges by County,,,,,,,,,,,,,,,,,,,,
County,Total Count,Total Deck Area (Msf),Closed Bridges,Posted Bridges,County Closed Bridges,County Posted Bridges,County Poor Bridges,Good Condition  Count,% Good Condition by Count,Good Condition Deck Area (Msf),% Good Condition by Deck Area,Fair Condition  Count,% Fair Condition by Count,Fair Condition Deck Area (Msf),% Fair Condition by Deck Area,Poor Condition  Count,% Poor Condition by Count,Poor Condition Deck Area (Msf),% Poor Condition by Deck Area,
Adams,70,0.0979,0,15,0,7,2,13,18.57%,0.0193,19.73%,53,75.71%,0.0741,75.67%,4,5.71%,0.0045,4.60%,
Allegheny,400,3.1768,11,37,2,8,22,77,19.25%,0.4012,12.63%,242,60.50%,2.3245,73.17%,79,19.75%,0.4207,13.24%,
Armstrong,69,0.1120,0,12,0,3,1,27,39.13%,0.0477,42.64%,33,47.83%,0.0521,46.56%,9,13.04%,0.0121,10.80%,
Beaver,61,0.2380,3,6,1,1,1,23,37.70%,0.0755,31.72%,31,50.82%,0.1490,62.59%,7,11.48%,0.0136,5.70%,
Bedford,86,0.1212,1,26,0,12,4,14,16.28%,0.0188,15.48%,50,58.14%,0.0619,51.08%,22,25.58%,0.0405,33.44%,
Berks,235,0.4541,5,60,2,21,18,33,14.04%,0.0784,17.27%,130,55.32%,0.2428,53.46%,72,30.64%,0.1329,29.27%,
Blair,112,0.2163,2,19,1,11,16,18,16.07%,0.0315,14.55%,59,52.68%,0.1435,66.32%,35,31.25%,0.0414,19.13%,
Bradford,116,0.1811,2,35,0,11,10,40,34.48%,0.0988,54.54%,33,28.45%,0.0372,20.55%,43,37.07%,0.0451,24.90%,
Bucks,174,0.2792,3,50,3,41,34,29,16.67%,0.0503,18.03%,100,57.47%,0.1526,54.68%,45,25.86%,0.0762,27.29%,
Butler,144,0.1942,0,20,0,15,20,21,14.58%,0.0247,12.71%,92,63.89%,0.1281,65.99%,30,20.83%,0.0332,17.11%,
Cambria,88,0.1860,2,9,1,0,2,24,27.27%,0.0500,26.87%,47,53.41%,0.1139,61.23%,17,19.32%,0.0221,11.90%,
Cameron,16,0.0284,1,2,0,0,0,5,31.25%,0.0187,65.60%,7,43.75%,0.0071,25.08%,4,25.00%,0.0027,9.32%,
Carbon,31,0.0616,1,8,1,6,9,4,12.90%,0.0056,9.07%,18,58.06%,0.0428,69.45%,9,29.03%,0.0132,21.48%,
Centre,59,0.0789,1,6,0,0,0,8,13.56%,0.0099,12.55%,38,64.41%,0.0571,72.41%,13,22.03%,0.0119,15.04%,
Chester,229,0.3146,8,66,1,47,29,61,26.64%,0.1027,32.66%,111,48.47%,0.1461,46.45%,55,24.02%,0.0608,19.33%,
Clarion,49,0.0534,1,16,0,1,0,16,32.65%,0.0210,39.37%,22,44.90%,0.0240,44.94%,11,22.45%,0.0084,15.69%,
Clearfield,71,0.0845,5,19,2,2,3,13,18.31%,0.0124,14.67%,27,38.03%,0.0401,47.41%,31,43.66%,0.0320,37.92%,
Clinton,19,0.0333,1,6,0,0,0,3,15.79%,0.0085,25.62%,10,52.63%,0.0127,38.14%,6,31.58%,0.0121,36.24%,
Columbia,77,0.1064,2,28,2,23,17,21,27.27%,0.0388,36.43%,32,41.56%,0.0410,38.48%,24,31.17%,0.0267,25.08%,
Crawford,125,0.1553,4,33,3,15,11,35,28.00%,0.0541,34.85%,48,38.40%,0.0515,33.15%,42,33.60%,0.0497,32.00%,
Cumberland,70,0.1840,2,12,2,5,6,23,32.86%,0.0657,35.71%,36,51.43%,0.0980,53.26%,11,15.71%,0.0203,11.03%,
Dauphin,123,0.3929,4,6,1,0,5,21,17.07%,0.0651,16.57%,79,64.23%,0.2864,72.90%,23,18.70%,0.0414,10.53%,
Delaware,93,0.2429,2,9,0,4,8,19,20.43%,0.0659,27.13%,56,60.22%,0.1359,55.94%,18,19.35%,0.0411,16.93%,
Elk,35,0.0731,0,5,0,0,0,9,25.71%,0.0442,60.39%,16,45.71%,0.0183,25.05%,10,28.57%,0.0107,14.57%,
Erie,112,0.2134,3,17,0,0,0,31,27.68%,0.0855,40.06%,57,50.89%,0.0946,44.31%,24,21.43%,0.0334,15.63%,
Fayette,119,0.1260,8,29,5,16,20,21,17.65%,0.0264,20.91%,48,40.34%,0.0409,32.44%,50,42.02%,0.0588,46.65%,
Forest,13,0.0231,0,2,0,0,1,3,23.08%,0.0109,47.23%,6,46.15%,0.0041,17.63%,4,30.77%,0.0081,35.15%,
Franklin,102,0.1698,1,12,0,10,9,17,16.67%,0.0309,18.19%,70,68.63%,0.1138,66.99%,15,14.71%,0.0252,14.82%,
Fulton,26,0.0314,0,5,0,0,0,6,23.08%,0.0064,20.27%,15,57.69%,0.0218,69.49%,5,19.23%,0.0032,10.24%,
Greene,91,0.0973,6,25,6,23,23,30,32.97%,0.0344,35.33%,35,38.46%,0.0340,34.98%,26,28.57%,0.0289,29.69%,
