Report A2 for Internet,,,,,,,,,,,,,,,Report Date,
PA Highway Bridges,,,,,,,,,,,,,,,4/1/22,
"Bridges on State Route System, Length 8' or Greater",,,,,,,,,,,,,,,,
Summary of Bridges by County,,,,,,,,,,,,,,,,
County, Total Count ,Total Deck Area (Msf),Closed Bridges,Posted Bridges,Good Condition  Count,% Good Condition by Count,Good Condition Deck Area (Msf),% Good Condition by Deck Area,Fair Condition  Count,% Fair Condition by Count,Fair Condition Deck Area (Msf),% Fair Condition by Deck Area,Poor Condition  Count,% Poor Condition by Count,Poor Condition Deck Area (Msf),% Poor Condition by Deck Area
Adams, 380 ,0.643,0,3,139,36.58%,0.282434,43.92%,212,55.79%,0.3234989,50.31%,29,7.63%,0.0370852,5.77%
Allegheny," 1,184 ",11.889,1,5,367,31.00%,2.5535408,21.48%,721,60.90%,9.0167657,75.84%,96,8.11%,0.318556,2.68%
Armstrong, 367 ,1.527,0,2,94,25.61%,0.2906417,19.03%,229,62.40%,1.2051956,78.91%,44,11.99%,0.0313807,2.05%
Beaver, 338 ,1.939,0,2,119,35.21%,0.5243371,27.04%,181,53.55%,1.3140286,67.75%,38,11.24%,0.1010531,5.21%
Bedford, 457 ,1.310,0,2,166,36.32%,0.2757797,21.06%,263,57.55%,1.0076527,76.93%,28,6.13%,0.0263225,2.01%
Berks, 644 ,2.918,2,15,152,23.60%,0.5604336,19.21%,447,69.41%,2.0567025,70.49%,45,6.99%,0.3005435,10.30%
Blair, 324 ,1.611,0,2,179,55.25%,0.642672,39.89%,135,41.67%,0.9558326,59.33%,10,3.09%,0.0126284,0.78%
Bradford, 510 ,1.184,2,2,214,41.96%,0.5090191,42.99%,275,53.92%,0.6610003,55.82%,21,4.12%,0.0140834,1.19%
Bucks, 664 ,2.925,6,22,164,24.70%,0.9410364,32.18%,402,60.54%,1.7068115,58.36%,97,14.61%,0.2759468,9.44%
Butler, 355 ,1.460,0,2,127,35.77%,0.5619696,38.50%,191,53.80%,0.7551551,51.73%,37,10.42%,0.1427136,9.78%
Cambria, 333 ,1.402,0,3,171,51.35%,0.4543397,32.40%,153,45.95%,0.8937485,63.73%,9,2.70%,0.05436,3.88%
