,fip,counties,# of poor,# of fair,# of good,population,total bridges,avg daily traffic
2284,42001,ADAMS,33,265,152,102850,450,4985.25789473684
2285,42003,ALLEGHENY,176,962,446,1212337,1584,17194.5004219409
2286,42005,ARMSTRONG,53,262,121,62884,436,3026.15258855586
2287,42007,BEAVER,45,212,141,161970,398,6326.54302670623
2288,42009,BEDFORD,50,313,180,47270,543,2163.75929978118
2289,42011,BERKS,117,577,185,423069,879,12864.8027950311
2290,42013,BLAIR,45,196,195,119807,436,6151.47530864198
2291,42015,BRADFORD,64,308,254,58910,626,1653.66078431373
2292,42017,BUCKS,140,504,193,629644,837,13101.9653092006
2293,42019,BUTLER,67,283,148,188498,498,8219.01126760563
2294,42021,CAMBRIA,26,200,195,126421,421,4907.32132132132
2295,42023,CAMERON,10,44,30,4285,84,977.058823529412
2296,42025,CARBON,34,107,25,64203,166,5860.22222222222
2297,42027,CENTRE,28,251,218,161737,497,6566.6301369863
2298,42029,CHESTER,138,538,215,533698,891,12665.3915662651
2299,42031,CLARION,19,168,70,37736,257,4300.41826923077
2300,42033,CLEARFIELD,69,234,152,78304,455,3938.62760416667
2301,42035,CLINTON,14,151,103,38440,268,4371.89156626506
2302,42037,COLUMBIA,30,185,166,64211,381,4036.14473684211
2303,42039,CRAWFORD,81,303,242,83186,626,2368.99401197605
2304,42041,CUMBERLAND,31,273,139,260087,443,14512.1474530831
2305,42043,DAUPHIN,51,383,131,282604,565,17988.6561085973
2306,42045,DELAWARE,53,300,117,571295,470,26659.4535809019
2307,42047,ELK,16,87,56,29310,159,2662.08064516129
2308,42049,ERIE,49,398,242,264280,689,7459.13344887348
2309,42051,FAYETTE,103,270,180,126127,553,3524.46313364055
2310,42053,FOREST,9,48,32,7136,89,575.539473684211
2311,42055,FRANKLIN,42,274,109,156371,425,6884.23529411765
2312,42057,FULTON,23,128,56,14545,207,2311.08287292818
2313,42059,GREENE,76,248,162,34949,486,2322.87088607595
2314,42061,HUNTINGDON,34,177,163,44391,374,1950.15141955836
2315,42063,INDIANA,96,264,145,82969,505,3065.67370892019
2316,42065,JEFFERSON,23,205,80,42858,308,3858.47908745247
2317,42067,JUNIATA,37,158,96,24898,291,2605.49011857708
2318,42069,LACKAWANNA,95,210,192,207889,497,9831.85611510791
2319,42071,LANCASTER,139,575,313,550989,1027,10220.5925414365
2320,42073,LAWRENCE,34,167,153,83664,354,4121.80363636364
2321,42075,LEBANON,29,202,85,143155,316,8638.33482142857
2322,42077,LEHIGH,55,272,147,372195,474,18352.0085227273
2323,42079,LUZERNE,162,309,221,316091,692,10180.6672535211
2324,42081,LYCOMING,24,296,299,111598,619,4957.33980582524
2325,42083,MCKEAN,66,128,132,39650,326,2169.65714285714
2326,42085,MERCER,85,290,215,106283,590,4694.95283018868
2327,42087,MIFFLIN,25,118,94,45919,237,4772.17391304348
2328,42089,MONROE,79,252,102,173202,433,10600.3732970027
2329,42091,MONTGOMERY,150,529,269,842888,948,22422.8413685848
2330,42093,MONTOUR,6,65,87,18200,158,5526.12781954887
2331,42095,NORTHAMPTON,47,275,123,307448,445,14189.462295082
2332,42097,NORTHUMBERLAND,27,230,172,90132,429,4040.6081871345
2333,42099,PERRY,46,199,76,46626,321,3473.96
2350,42101,PHILADELPHIA,98,522,255,1585480,875,48000.9856801909
2334,42103,PIKE,80,395,115,55896,590,6071.06111111111
2335,42105,POTTER,57,86,73,16235,216,879.662601626016
2336,42107,SCHUYLKILL,44,121,126,139991,291,6251.02608695652
2337,42109,SNYDER,118,289,96,39934,503,3954.01244813278
2338,42111,SOMERSET,9,143,121,72172,273,1882.05714285714
2339,42113,SULLIVAN,98,291,196,6036,585,769.89928057554
2340,42115,SUSQUEHANNA,9,92,69,39632,170,2138.25120772947
2341,42117,TIOGA,118,206,159,40294,483,1991.40804597701
2342,42119,UNION,22,293,293,44641,608,5006.85353535354
2343,42121,VENANGO,9,110,117,49069,236,3054.4932735426
2344,42123,WARREN,34,154,101,38111,289,2158.73033707865
2345,42125,WASHINGTON,47,157,126,206406,330,7491.3589076723
2346,42127,WAYNE,140,502,290,51259,932,1778.58490566038
2347,42129,WESTMORELAND,115,166,110,344219,391,6875.70923913043
2348,42131,WYOMING,146,480,285,25915,911,2108.56862745098
2349,42133,YORK,46,106,79,452691,231,10248.5182926829
